id,subfolder,target,pa_amod
viral/deu_news_2008_1M-sentences.txt/9575682,2006-2010,"[('viral/ADJ',)]","[('Proteinen',)]"
viral/deu_news_2008_1M-sentences.txt/10029425,2006-2010,"[('viral/ADJ',)]","[('Marketing',)]"
viral/deu_news_2008_1M-sentences.txt/10588647,2006-2010,"[('viral/ADJ',)]","[('Kampagnen',)]"
viral/deu_news_2008_1M-sentences.txt/12019074,2006-2010,"[('viral/ADJ',)]","[('Infektionen',)]"
viral/deu_news_2008_1M-sentences.txt/12182909,2006-2010,"[('viral/ADJ',)]","[('Verbreitung',)]"
viral/deu_news_2008_1M-sentences.txt/12640060,2006-2010,"[('viral/ADJ',)]","[('Infektionskrankheiten',)]"
viral/deu_news_2008_1M-sentences.txt/13133630,2006-2010,"[('viral/ADJ',)]","[('Infektionskrankheit',)]"
viral/deu_news_2008_1M-sentences.txt/13515141,2006-2010,"[('viral/ADJ',)]","[('Marketings',)]"
viral/deu_news_2008_1M-sentences.txt/14449081,2006-2010,"[('viral/ADJ',)]","[('Marketings',)]"
viral/deu_news_2008_1M-sentences.txt/14905049,2006-2010,"[('viral/ADJ',)]","[('Mechanismus',)]"
viral/deu_news_2008_1M-sentences.txt/15483692,2006-2010,"[('viral/ADJ',)]","[('Kampagnen',)]"
viral/deu_news_2008_1M-sentences.txt/16872932,2006-2010,"[('viral/ADJ',)]","[('Vektortechnologie',)]"
viral/deu_news_2008_1M-sentences.txt/16901915,2006-2010,"[('viral/ADJ',)]","[('Marketings',)]"
viral/deu_news_2008_1M-sentences.txt/19294344,2006-2010,"[('viral/ADJ',)]","[('Marketing',)]"
viral/deu_news_2008_1M-sentences.txt/20571761,2006-2010,"[('viral/ADJ',)]","[('Commercials',)]"
viral/deu_news_2009_1M-sentences.txt/3555491,2006-2010,"[('viral/ADJ',)]","[('Ansprechrate',)]"
viral/deu_news_2009_1M-sentences.txt/6450691,2006-2010,"[('viral/ADJ',)]","[('Filmformat',)]"
viral/deu_news_2009_1M-sentences.txt/8350331,2006-2010,"[('viral/ADJ',)]","[('Souvenirs',)]"
viral/deu_news_2009_1M-sentences.txt/9659503,2006-2010,"[('viral/ADJ',)]","[('Kommunikation',)]"
viral/deu_news_2009_1M-sentences.txt/9700947,2006-2010,"[('viral/ADJ',)]","[('Spots',)]"
viral/deu_news_2009_1M-sentences.txt/9987762,2006-2010,"[('viral/ADJ',)]","[('Effekte',)]"
viral/deu_news_2009_1M-sentences.txt/10093766,2006-2010,"[('viral/ADJ',)]","[('Marketingkampagne',)]"
viral/deu_news_2009_1M-sentences.txt/12877026,2006-2010,"[('viral/ADJ',)]","[('Marketing',)]"
viral/deu_news_2009_1M-sentences.txt/14046797,2006-2010,"[('viral/ADJ',)]","[('Filme',)]"
viral/deu_news_2009_1M-sentences.txt/15078302,2006-2010,"[('viral/ADJ',)]","[('Effekte',)]"
viral/deu_news_2009_1M-sentences.txt/15354902,2006-2010,"[('viral/ADJ',)]","[('Pneumonie',)]"
viral/deu_news_2009_1M-sentences.txt/15460843,2006-2010,"[('viral/ADJ',)]","[('Infektion',)]"
viral/deu_news_2009_1M-sentences.txt/16784780,2006-2010,"[('viral/ADJ',)]","[('Ätiologie',)]"
viral/deu_news_2009_1M-sentences.txt/17073154,2006-2010,"[('viral/ADJ',)]","[('Marketing',)]"
viral/deu_news_2009_1M-sentences.txt/18094560,2006-2010,"[('viral/ADJ',)]","[('Ätiologie',)]"
viral/deu_news_2009_1M-sentences.txt/18148208,2006-2010,"[('viral/ADJ',)]","[('Infektionen',)]"
viral/deu_news_2009_1M-sentences.txt/18738552,2006-2010,"[('viral/ADJ',)]","[('Eiweiß',)]"
viral/deu_news_2009_1M-sentences.txt/18754210,2006-2010,"[('viral/ADJ',)]","[('Aktionen',)]"
viral/deu_news_2009_1M-sentences.txt/20772323,2006-2010,"[('viral/ADJ',)]","[('Ansteckungsrisiko',)]"
viral/deu_news_2010_1M-sentences.txt/811611,2006-2010,"[('viral/ADJ',)]","[('Vektor',)]"
viral/deu_news_2010_1M-sentences.txt/1986770,2006-2010,"[('viral/ADJ',)]","[('Lungenentzündung',)]"
viral/deu_news_2010_1M-sentences.txt/2167739,2006-2010,"[('viral/ADJ',)]","[('Erreger',)]"
viral/deu_news_2010_1M-sentences.txt/2757781,2006-2010,"[('viral/ADJ',)]","[('Videos',)]"
viral/deu_news_2010_1M-sentences.txt/3354567,2006-2010,"[('viral/ADJ',)]","[('Videoportal',)]"
viral/deu_news_2010_1M-sentences.txt/4847030,2006-2010,"[('viral/ADJ',)]","[('Potential',)]"
viral/deu_news_2010_1M-sentences.txt/4847041,2006-2010,"[('viral/ADJ',)]","[('Effekte',)]"
viral/deu_news_2010_1M-sentences.txt/5238381,2006-2010,"[('viral/ADJ',)]","[('Material',)]"
viral/deu_news_2010_1M-sentences.txt/6482578,2006-2010,"[('viral/ADJ',)]","[('Vektoren',)]"
viral/deu_news_2010_1M-sentences.txt/8325485,2006-2010,"[('viral/ADJ',)]","[('Videos',)]"
viral/deu_news_2010_1M-sentences.txt/8410467,2006-2010,"[('viral/ADJ',)]","[('Genfähre',)]"
viral/deu_news_2010_1M-sentences.txt/8783490,2006-2010,"[('viral/ADJ',)]","[('Meningitis',)]"
viral/deu_news_2010_1M-sentences.txt/8867746,2006-2010,"[('viral/ADJ',)]","[('Hype',)]"
viral/deu_news_2010_1M-sentences.txt/10270647,2006-2010,"[('viral/ADJ',)]","[('DNA',)]"
viral/deu_news_2010_1M-sentences.txt/10958832,2006-2010,"[('viral/ADJ',)]","[('News',)]"
viral/deu_news_2010_1M-sentences.txt/16023731,2006-2010,"[('viral/ADJ',)]","[('Videos',)]"
viral/deu_news_2010_1M-sentences.txt/17497358,2006-2010,"[('viral/ADJ',)]","[('Medium',)]"
viral/deu_news_2010_1M-sentences.txt/18745930,2006-2010,"[('viral/ADJ',)]","[('EiweiÃ\x9f',)]"
viral/deu_news_2010_1M-sentences.txt/19583561,2006-2010,"[('viral/ADJ',)]","[('Videos',)]"
viral/deu_news_2010_1M-sentences.txt/19940707,2006-2010,"[('viral/ADJ',)]","[('Marketings',)]"
viral/deu_news_2010_1M-sentences.txt/19940716,2006-2010,"[('viral/ADJ',)]","[('Marketings',)]"
viral/deu_news_2010_1M-sentences.txt/20540789,2006-2010,"[('viral/ADJ',)]","[('Werbespot',)]"
viral/deu_news_2010_1M-sentences.txt/20724669,2006-2010,"[('viral/ADJ',)]","[('Art',)]"
viral/deu_news_2010_1M-sentences.txt/20909975,2006-2010,"[('viral/ADJ',)]","[('Werbespots',)]"
viral/deu_news_2010_1M-sentences.txt/21052374,2006-2010,"[('viral/ADJ',)]","[('Phänomen',)]"
viral/deu_news_2011_1M-sentences.txt/1549279,2011-2015,"[('viral/ADJ',)]","[('Grippeerkrankung',)]"
viral/deu_news_2011_1M-sentences.txt/4150270,2011-2015,"[('viral/ADJ',)]","[('Krankheit',)]"
viral/deu_news_2011_1M-sentences.txt/4946777,2011-2015,"[('viral/ADJ',)]","[('Infektionen',)]"
viral/deu_news_2011_1M-sentences.txt/5955357,2011-2015,"[('viral/ADJ',)]","[('Marketing',)]"
viral/deu_news_2011_1M-sentences.txt/8768444,2011-2015,"[('viral/ADJ',)]","[('Verseuchung',)]"
viral/deu_news_2011_1M-sentences.txt/13018140,2011-2015,"[('viral/ADJ',)]","[('Effekt',)]"
viral/deu_news_2011_1M-sentences.txt/13964039,2011-2015,"[('viral/ADJ',)]","[('Werbe',)]"
viral/deu_news_2011_1M-sentences.txt/14212907,2011-2015,"[('viral/ADJ',)]","[('Infekt',)]"
viral/deu_news_2011_1M-sentences.txt/16269716,2011-2015,"[('viral/ADJ',)]","[('Darminfektionen',)]"
viral/deu_news_2011_1M-sentences.txt/16935404,2011-2015,"[('viral/ADJ',)]","[('Marketing',)]"
viral/deu_news_2011_1M-sentences.txt/17841425,2011-2015,"[('viral/ADJ',)]","[('Kommunikation',)]"
viral/deu_news_2011_1M-sentences.txt/18513682,2011-2015,"[('viral/ADJ',)]","[('Werbung',)]"
viral/deu_news_2011_1M-sentences.txt/18797042,2011-2015,"[('viral/ADJ',)]","[('Effekt',)]"
viral/deu_news_2011_1M-sentences.txt/19263761,2011-2015,"[('viral/ADJ',)]","[('Spot',)]"
viral/deu_news_2011_1M-sentences.txt/19316970,2011-2015,"[('viral/ADJ',)]","[('Web',)]"
