id,subfolder,target,Number,Degree,Case,Gender,Variant
viral/deu_news_2025_1M-sentences.txt/12705591,2021-2025,"[('viral/ADJ',)]","[('Sing',)]",[],[],[],[]
viral/deu_news_2025_1M-sentences.txt/12742506,2021-2025,"[('viral/ADJ',)]","[('Sing',)]",[],[],[],[]
viral/deu_news_2025_1M-sentences.txt/12755835,2021-2025,"[('viral/ADJ',)]",[],"[('Pos',)]",[],[],"[('Short',)]"
viral/deu_news_2025_1M-sentences.txt/12802101,2021-2025,"[('viral/ADJ',)]",[],"[('Pos',)]",[],[],"[('Short',)]"
viral/deu_news_2025_1M-sentences.txt/13125832,2021-2025,"[('viral/ADJ',)]","[('Sing',)]",[],[],[],[]
viral/deu_news_2025_1M-sentences.txt/13261204,2021-2025,"[('viral/ADJ',)]",[],"[('Pos',)]",[],[],"[('Short',)]"
viral/deu_news_2025_1M-sentences.txt/13287879,2021-2025,"[('viral/ADJ',)]",[],"[('Pos',)]",[],[],"[('Short',)]"
viral/deu_news_2025_1M-sentences.txt/13535425,2021-2025,"[('viral/ADJ',)]",[],"[('Pos',)]",[],[],"[('Short',)]"
viral/deu_news_2025_1M-sentences.txt/13784238,2021-2025,"[('viral/ADJ',)]","[('Sing',)]","[('Pos',)]","[('Dat',)]",[],[]
viral/deu_news_2025_1M-sentences.txt/13799339,2021-2025,"[('viral/ADJ',)]",[],"[('Pos',)]",[],[],"[('Short',)]"
viral/deu_news_2025_1M-sentences.txt/14179363,2021-2025,"[('viral/ADJ',)]","[('Sing',)]",[],[],"[('Neut',)]",[]
viral/deu_news_2025_1M-sentences.txt/14299259,2021-2025,"[('viral/ADJ',)]","[('Sing',)]",[],[],[],[]
viral/deu_news_2025_1M-sentences.txt/14359665,2021-2025,"[('viral/ADJ',)]","[('Sing',)]",[],[],[],[]
viral/deu_news_2025_1M-sentences.txt/14742192,2021-2025,"[('viral/ADJ',)]",[],"[('Pos',)]",[],[],"[('Short',)]"
viral/deu_news_2025_1M-sentences.txt/14812226,2021-2025,"[('viral/ADJ',)]","[('Sing',)]","[('Pos',)]",[],[],[]
viral/deu_news_2025_1M-sentences.txt/15234845,2021-2025,"[('viral/ADJ',)]",[],"[('Pos',)]",[],[],"[('Short',)]"
viral/deu_news_2025_1M-sentences.txt/16000882,2021-2025,"[('viral/ADJ',)]",[],"[('Pos',)]",[],[],"[('Short',)]"
viral/deu_news_2025_1M-sentences.txt/16073312,2021-2025,"[('viral/ADJ',)]","[('Sing',)]",[],[],[],[]
viral/deu_news_2025_1M-sentences.txt/16226734,2021-2025,"[('viral/ADJ',)]",[],"[('Pos',)]",[],[],"[('Short',)]"
viral/deu_news_2025_1M-sentences.txt/16575670,2021-2025,"[('viral/ADJ',)]","[('Sing',)]",[],[],[],[]
viral/deu_news_2025_1M-sentences.txt/17006278,2021-2025,"[('viral/ADJ',)]",[],"[('Pos',)]",[],[],"[('Short',)]"
viral/deu_news_2025_1M-sentences.txt/17024866,2021-2025,"[('viral/ADJ',)]","[('Sing',)]","[('Pos',)]",[],"[('Neut',)]",[]
viral/deu_news_2025_1M-sentences.txt/17094779,2021-2025,"[('viral/ADJ',)]","[('Plur',)]","[('Pos',)]",[],[],[]
viral/deu_news_2025_1M-sentences.txt/17324156,2021-2025,"[('viral/ADJ',)]","[('Sing',)]",[],[],[],[]
viral/deu_news_2025_1M-sentences.txt/17324177,2021-2025,"[('viral/ADJ',)]",[],"[('Pos',)]",[],[],"[('Short',)]"
viral/deu_news_2025_1M-sentences.txt/17345321,2021-2025,"[('viral/ADJ',)]","[('Plur',)]",[],"[('Dat',)]",[],[]
viral/deu_news_2025_1M-sentences.txt/17957745,2021-2025,"[('viral/ADJ',)]","[('Plur',)]",[],"[('Dat',)]",[],[]
viral/deu_news_2025_1M-sentences.txt/18130095,2021-2025,"[('viral/ADJ',)]","[('Sing',)]","[('Pos',)]",[],"[('Neut',)]",[]
viral/deu_news_2025_1M-sentences.txt/18319720,2021-2025,"[('viral/ADJ',)]","[('Sing',)]","[('Pos',)]",[],"[('Neut',)]",[]
viral/deu_news_2025_1M-sentences.txt/18456318,2021-2025,"[('viral/ADJ',)]",[],"[('Pos',)]",[],[],"[('Short',)]"
viral/deu_news_2025_1M-sentences.txt/18724472,2021-2025,"[('viral/ADJ',)]","[('Sing',)]","[('Pos',)]",[],[],[]
viral/deu_news_2025_1M-sentences.txt/18780168,2021-2025,"[('viral/ADJ',)]","[('Sing',)]","[('Pos',)]",[],"[('Neut',)]",[]
viral/deu_news_2025_1M-sentences.txt/18867898,2021-2025,"[('viral/ADJ',)]",[],"[('Pos',)]",[],[],"[('Short',)]"
viral/deu_news_2025_1M-sentences.txt/19016065,2021-2025,"[('viral/ADJ',)]","[('Sing',)]",[],[],[],[]
viral/deu_news_2025_1M-sentences.txt/19203687,2021-2025,"[('viral/ADJ',)]",[],"[('Pos',)]",[],[],"[('Short',)]"
viral/deu_news_2025_1M-sentences.txt/19395831,2021-2025,"[('viral/ADJ',)]",[],"[('Pos',)]",[],[],"[('Short',)]"
viral/deu_news_2025_1M-sentences.txt/20104761,2021-2025,"[('viral/ADJ',)]",[],"[('Pos',)]",[],[],"[('Short',)]"
